[1/10000]: param_kd=01, param_n=01, param_alpha=01, param_delta=0.000 -> accuracy=0.4
[65/10000]: param_kd=02, param_n=09, param_alpha=09, param_delta=0.600 -> accuracy=0.4
[66/10000]: param_kd=01, param_n=01, param_alpha=01, param_delta=0.800 -> accuracy=0.4
[67/10000]: param_kd=03, param_n=03, param_alpha=01, param_delta=0.800 -> accuracy=0.4
[68/10000]: param_kd=01, param_n=10, param_alpha=05, param_delta=0.400 -> accuracy=0.4
[69/10000]: param_kd=02, param_n=08, param_alpha=04, param_delta=0.000 -> accuracy=0.4
[70/10000]: param_kd=03, param_n=01, param_alpha=05, param_delta=0.500 -> accuracy=0.4
[71/10000]: param_kd=03, param_n=03, param_alpha=01, param_delta=0.900 -> accuracy=0.4
[72/10000]: param_kd=03, param_n=04, param_alpha=06, param_delta=0.800 -> accuracy=0.4
[73/10000]: param_kd=02, param_n=05, param_alpha=02, param_delta=0.600 -> accuracy=0.4
[74/10000]: param_kd=02, param_n=02, param_alpha=01, param_delta=0.400 -> accuracy=0.4
[75/10000]: param_kd=01, param_n=08, param_alpha=09, param_delta=0.700 -> accuracy=0.4
[76/10000]: param_kd=03, param_n=03, param_alpha=02, param_delta=0.000 -> accuracy=0.4
[77/10000]: param_kd=01, param_n=02, param_alpha=07, param_delta=0.100 -> accuracy=0.4
[78/10000]: param_kd=02, param_n=06, param_alpha=08, param_delta=0.500 -> accuracy=0.4
[79/10000]: param_kd=01, param_n=04, param_alpha=02, param_delta=0.700 -> accuracy=0.4
[80/10000]: param_kd=01, param_n=01, param_alpha=01, param_delta=0.900 -> accuracy=0.4
[81/10000]: param_kd=03, param_n=03, param_alpha=02, param_delta=0.100 -> accuracy=0.4
[82/10000]: param_kd=02, param_n=03, param_alpha=07, param_delta=0.000 -> accuracy=0.4
[83/10000]: param_kd=01, param_n=05, param_alpha=08, param_delta=0.400 -> accuracy=0.4
[84/10000]: param_kd=01, param_n=07, param_alpha=04, param_delta=0.100 -> accuracy=0.4
[85/10000]: param_kd=01, param_n=01, param_alpha=02, param_delta=0.000 -> accuracy=0.4
[86/10000]: param_kd=03, param_n=03, param_alpha=02, param_delta=0.200 -> accuracy=0.4
[87/10000]: param_kd=03, param_n=01, param_alpha=05, param_delta=0.600 -> accuracy=0.4
[88/10000]: param_kd=02, param_n=08, param_alpha=04, param_delta=0.100 -> accuracy=0.4
[89/10000]: param_kd=01, param_n=01, param_alpha=02, param_delta=0.100 -> accuracy=0.4
[90/10000]: param_kd=02, param_n=09, param_alpha=09, param_delta=0.700 -> accuracy=0.4
[91/10000]: param_kd=03, param_n=04, param_alpha=06, param_delta=0.900 -> accuracy=0.4
[92/10000]: param_kd=02, param_n=02, param_alpha=01, param_delta=0.500 -> accuracy=0.4
[93/10000]: param_kd=03, param_n=03, param_alpha=02, param_delta=0.300 -> accuracy=0.4
[94/10000]: param_kd=02, param_n=05, param_alpha=02, param_delta=0.700 -> accuracy=0.4
[95/10000]: param_kd=01, param_n=01, param_alpha=02, param_delta=0.200 -> accuracy=0.4
[96/10000]: param_kd=01, param_n=10, param_alpha=05, param_delta=0.500 -> accuracy=0.4
[97/10000]: param_kd=01, param_n=02, param_alpha=07, param_delta=0.200 -> accuracy=0.4
[98/10000]: param_kd=03, param_n=03, param_alpha=02, param_delta=0.400 -> accuracy=0.4
[99/10000]: param_kd=01, param_n=01, param_alpha=02, param_delta=0.300 -> accuracy=0.4
[100/10000]: param_kd=01, param_n=04, param_alpha=02, param_delta=0.800 -> accuracy=0.4
[101/10000]: param_kd=01, param_n=01, param_alpha=02, param_delta=0.400 -> accuracy=0.4
[102/10000]: param_kd=03, param_n=03, param_alpha=02, param_delta=0.500 -> accuracy=0.4
[103/10000]: param_kd=02, param_n=03, param_alpha=07, param_delta=0.100 -> accuracy=1.0
[104/10000]: param_kd=03, param_n=01, param_alpha=05, param_delta=0.700 -> accuracy=0.4
[105/10000]: param_kd=01, param_n=01, param_alpha=02, param_delta=0.500 -> accuracy=0.4
[106/10000]: param_kd=02, param_n=06, param_alpha=08, param_delta=0.600 -> accuracy=0.4
[107/10000]: param_kd=01, param_n=08, param_alpha=09, param_delta=0.800 -> accuracy=0.4
[108/10000]: param_kd=03, param_n=03, param_alpha=02, param_delta=0.600 -> accuracy=0.4
[109/10000]: param_kd=02, param_n=02, param_alpha=01, param_delta=0.600 -> accuracy=0.4
[110/10000]: param_kd=01, param_n=01, param_alpha=02, param_delta=0.600 -> accuracy=0.4
[111/10000]: param_kd=03, param_n=04, param_alpha=07, param_delta=0.000 -> accuracy=0.4
[112/10000]: param_kd=02, param_n=05, param_alpha=02, param_delta=0.800 -> accuracy=0.4
[113/10000]: param_kd=01, param_n=07, param_alpha=04, param_delta=0.200 -> accuracy=0.4
[114/10000]: param_kd=03, param_n=03, param_alpha=02, param_delta=0.700 -> accuracy=0.4
[115/10000]: param_kd=01, param_n=01, param_alpha=02, param_delta=0.700 -> accuracy=0.4
[116/10000]: param_kd=01, param_n=02, param_alpha=07, param_delta=0.300 -> accuracy=0.4
[117/10000]: param_kd=02, param_n=08, param_alpha=04, param_delta=0.200 -> accuracy=0.4
[118/10000]: param_kd=01, param_n=01, param_alpha=02, param_delta=0.800 -> accuracy=0.4
[119/10000]: param_kd=03, param_n=03, param_alpha=02, param_delta=0.800 -> accuracy=0.4
[120/10000]: param_kd=02, param_n=09, param_alpha=09, param_delta=0.800 -> accuracy=0.4
[121/10000]: param_kd=01, param_n=10, param_alpha=05, param_delta=0.600 -> accuracy=0.4
[122/10000]: param_kd=01, param_n=04, param_alpha=02, param_delta=0.900 -> accuracy=0.4
[123/10000]: param_kd=01, param_n=05, param_alpha=08, param_delta=0.500 -> accuracy=0.4
[124/10000]: param_kd=01, param_n=01, param_alpha=02, param_delta=0.900 -> accuracy=0.4
[125/10000]: param_kd=03, param_n=01, param_alpha=05, param_delta=0.800 -> accuracy=0.4
[126/10000]: param_kd=03, param_n=03, param_alpha=02, param_delta=0.900 -> accuracy=0.4
[127/10000]: param_kd=02, param_n=02, param_alpha=01, param_delta=0.700 -> accuracy=0.4
[128/10000]: param_kd=01, param_n=01, param_alpha=03, param_delta=0.000 -> accuracy=0.4
[129/10000]: param_kd=02, param_n=03, param_alpha=07, param_delta=0.200 -> accuracy=1.0
[130/10000]: param_kd=03, param_n=03, param_alpha=03, param_delta=0.000 -> accuracy=0.4
[131/10000]: param_kd=02, param_n=05, param_alpha=02, param_delta=0.900 -> accuracy=0.4
[132/10000]: param_kd=03, param_n=04, param_alpha=07, param_delta=0.100 -> accuracy=0.4
[133/10000]: param_kd=01, param_n=01, param_alpha=03, param_delta=0.100 -> accuracy=0.4
[134/10000]: param_kd=03, param_n=03, param_alpha=03, param_delta=0.100 -> accuracy=0.4
[135/10000]: param_kd=02, param_n=06, param_alpha=08, param_delta=0.700 -> accuracy=0.4
[136/10000]: param_kd=01, param_n=01, param_alpha=03, param_delta=0.200 -> accuracy=0.4
[137/10000]: param_kd=01, param_n=02, param_alpha=07, param_delta=0.400 -> accuracy=0.4
[138/10000]: param_kd=03, param_n=03, param_alpha=03, param_delta=0.200 -> accuracy=0.4
[139/10000]: param_kd=01, param_n=08, param_alpha=09, param_delta=0.900 -> accuracy=0.4
[140/10000]: param_kd=03, param_n=01, param_alpha=05, param_delta=0.900 -> accuracy=0.4
[141/10000]: param_kd=01, param_n=04, param_alpha=03, param_delta=0.000 -> accuracy=0.4
[142/10000]: param_kd=02, param_n=02, param_alpha=01, param_delta=0.800 -> accuracy=0.4
[143/10000]: param_kd=01, param_n=07, param_alpha=04, param_delta=0.300 -> accuracy=0.4
[144/10000]: param_kd=02, param_n=08, param_alpha=04, param_delta=0.300 -> accuracy=0.4
[145/10000]: param_kd=03, param_n=01, param_alpha=06, param_delta=0.000 -> accuracy=0.4
[146/10000]: param_kd=01, param_n=10, param_alpha=05, param_delta=0.700 -> accuracy=0.4
[147/10000]: param_kd=01, param_n=08, param_alpha=10, param_delta=0.000 -> accuracy=0.4
[148/10000]: param_kd=02, param_n=09, param_alpha=09, param_delta=0.900 -> accuracy=0.4
[149/10000]: param_kd=03, param_n=01, param_alpha=06, param_delta=0.100 -> accuracy=0.4
[150/10000]: param_kd=02, param_n=05, param_alpha=03, param_delta=0.000 -> accuracy=0.4
[151/10000]: param_kd=02, param_n=03, param_alpha=07, param_delta=0.300 -> accuracy=1.0
[152/10000]: param_kd=03, param_n=04, param_alpha=07, param_delta=0.200 -> accuracy=0.4
[153/10000]: param_kd=03, param_n=01, param_alpha=06, param_delta=0.200 -> accuracy=0.4
[154/10000]: param_kd=01, param_n=01, param_alpha=03, param_delta=0.300 -> accuracy=0.4
[155/10000]: param_kd=02, param_n=09, param_alpha=10, param_delta=0.000 -> accuracy=0.4
[156/10000]: param_kd=02, param_n=02, param_alpha=01, param_delta=0.900 -> accuracy=0.4
[157/10000]: param_kd=01, param_n=08, param_alpha=10, param_delta=0.100 -> accuracy=0.4
[158/10000]: param_kd=01, param_n=05, param_alpha=08, param_delta=0.600 -> accuracy=0.4
[159/10000]: param_kd=01, param_n=02, param_alpha=07, param_delta=0.500 -> accuracy=0.4
[160/10000]: param_kd=03, param_n=03, param_alpha=03, param_delta=0.300 -> accuracy=0.4
[161/10000]: param_kd=03, param_n=01, param_alpha=06, param_delta=0.300 -> accuracy=0.4
[162/10000]: param_kd=02, param_n=09, param_alpha=10, param_delta=0.100 -> accuracy=0.4
[163/10000]: param_kd=03, param_n=01, param_alpha=06, param_delta=0.400 -> accuracy=0.4
[164/10000]: param_kd=01, param_n=08, param_alpha=10, param_delta=0.200 -> accuracy=0.4
[165/10000]: param_kd=02, param_n=06, param_alpha=08, param_delta=0.800 -> accuracy=0.4
[166/10000]: param_kd=01, param_n=04, param_alpha=03, param_delta=0.100 -> accuracy=0.4
[167/10000]: param_kd=02, param_n=09, param_alpha=10, param_delta=0.200 -> accuracy=0.4
[168/10000]: param_kd=03, param_n=01, param_alpha=06, param_delta=0.500 -> accuracy=0.4
[169/10000]: param_kd=02, param_n=02, param_alpha=02, param_delta=0.000 -> accuracy=0.4
[170/10000]: param_kd=01, param_n=08, param_alpha=10, param_delta=0.300 -> accuracy=0.4
[171/10000]: param_kd=03, param_n=01, param_alpha=06, param_delta=0.600 -> accuracy=0.4
[172/10000]: param_kd=02, param_n=09, param_alpha=10, param_delta=0.300 -> accuracy=0.4
[173/10000]: param_kd=01, param_n=01, param_alpha=03, param_delta=0.400 -> accuracy=0.4
[174/10000]: param_kd=02, param_n=08, param_alpha=04, param_delta=0.400 -> accuracy=0.4
[175/10000]: param_kd=03, param_n=04, param_alpha=07, param_delta=0.300 -> accuracy=0.4
[176/10000]: param_kd=01, param_n=07, param_alpha=04, param_delta=0.400 -> accuracy=0.4
[177/10000]: param_kd=03, param_n=01, param_alpha=06, param_delta=0.700 -> accuracy=0.4
[178/10000]: param_kd=02, param_n=05, param_alpha=03, param_delta=0.100 -> accuracy=0.4
[179/10000]: param_kd=01, param_n=10, param_alpha=05, param_delta=0.800 -> accuracy=0.4
[180/10000]: param_kd=03, param_n=03, param_alpha=03, param_delta=0.400 -> accuracy=0.4
[181/10000]: param_kd=01, param_n=08, param_alpha=10, param_delta=0.400 -> accuracy=0.4
[182/10000]: param_kd=02, param_n=09, param_alpha=10, param_delta=0.400 -> accuracy=0.4
[183/10000]: param_kd=02, param_n=03, param_alpha=07, param_delta=0.400 -> accuracy=0.4
[184/10000]: param_kd=01, param_n=02, param_alpha=07, param_delta=0.600 -> accuracy=0.4
[185/10000]: param_kd=03, param_n=01, param_alpha=06, param_delta=0.800 -> accuracy=0.4
[186/10000]: param_kd=01, param_n=05, param_alpha=08, param_delta=0.700 -> accuracy=0.4
[187/10000]: param_kd=03, param_n=01, param_alpha=06, param_delta=0.900 -> accuracy=0.4
[188/10000]: param_kd=02, param_n=09, param_alpha=10, param_delta=0.500 -> accuracy=0.4
[189/10000]: param_kd=02, param_n=02, param_alpha=02, param_delta=0.100 -> accuracy=0.4
[190/10000]: param_kd=01, param_n=08, param_alpha=10, param_delta=0.500 -> accuracy=0.4
[191/10000]: param_kd=03, param_n=01, param_alpha=07, param_delta=0.000 -> accuracy=0.4
[192/10000]: param_kd=01, param_n=04, param_alpha=03, param_delta=0.200 -> accuracy=0.4
[193/10000]: param_kd=02, param_n=09, param_alpha=10, param_delta=0.600 -> accuracy=0.4
[194/10000]: param_kd=01, param_n=01, param_alpha=03, param_delta=0.500 -> accuracy=0.4
[195/10000]: param_kd=03, param_n=01, param_alpha=07, param_delta=0.100 -> accuracy=0.4
[196/10000]: param_kd=02, param_n=06, param_alpha=08, param_delta=0.900 -> accuracy=0.4
[197/10000]: param_kd=01, param_n=08, param_alpha=10, param_delta=0.600 -> accuracy=0.4
[198/10000]: param_kd=03, param_n=03, param_alpha=03, param_delta=0.500 -> accuracy=0.4
[199/10000]: param_kd=03, param_n=04, param_alpha=07, param_delta=0.400 -> accuracy=0.4
[200/10000]: param_kd=02, param_n=09, param_alpha=10, param_delta=0.700 -> accuracy=0.4
[201/10000]: param_kd=03, param_n=01, param_alpha=07, param_delta=0.200 -> accuracy=0.4
[202/10000]: param_kd=02, param_n=02, param_alpha=02, param_delta=0.200 -> accuracy=0.4
[203/10000]: param_kd=02, param_n=05, param_alpha=03, param_delta=0.200 -> accuracy=0.4
[204/10000]: param_kd=01, param_n=02, param_alpha=07, param_delta=0.700 -> accuracy=0.4
[205/10000]: param_kd=01, param_n=08, param_alpha=10, param_delta=0.700 -> accuracy=0.4
[206/10000]: param_kd=03, param_n=01, param_alpha=07, param_delta=0.300 -> accuracy=0.4
[207/10000]: param_kd=02, param_n=08, param_alpha=04, param_delta=0.500 -> accuracy=0.4
[208/10000]: param_kd=02, param_n=09, param_alpha=10, param_delta=0.800 -> accuracy=0.4
[209/10000]: param_kd=01, param_n=10, param_alpha=05, param_delta=0.900 -> accuracy=0.4
[210/10000]: param_kd=01, param_n=07, param_alpha=04, param_delta=0.500 -> accuracy=0.4
[211/10000]: param_kd=03, param_n=01, param_alpha=07, param_delta=0.400 -> accuracy=0.4
[212/10000]: param_kd=02, param_n=03, param_alpha=07, param_delta=0.500 -> accuracy=0.4
[213/10000]: param_kd=01, param_n=08, param_alpha=10, param_delta=0.800 -> accuracy=0.4
[214/10000]: param_kd=02, param_n=09, param_alpha=10, param_delta=0.900 -> accuracy=0.4
[215/10000]: param_kd=01, param_n=05, param_alpha=08, param_delta=0.800 -> accuracy=0.4
[216/10000]: param_kd=03, param_n=01, param_alpha=07, param_delta=0.500 -> accuracy=0.4
[217/10000]: param_kd=01, param_n=01, param_alpha=03, param_delta=0.600 -> accuracy=0.4
[218/10000]: param_kd=01, param_n=04, param_alpha=03, param_delta=0.300 -> accuracy=0.4
[219/10000]: param_kd=03, param_n=03, param_alpha=03, param_delta=0.600 -> accuracy=0.4
[220/10000]: param_kd=02, param_n=02, param_alpha=02, param_delta=0.300 -> accuracy=0.4
[221/10000]: param_kd=02, param_n=10, param_alpha=01, param_delta=0.000 -> accuracy=0.4
[222/10000]: param_kd=03, param_n=04, param_alpha=07, param_delta=0.500 -> accuracy=0.4
[223/10000]: param_kd=02, param_n=06, param_alpha=09, param_delta=0.000 -> accuracy=0.4
[224/10000]: param_kd=02, param_n=10, param_alpha=01, param_delta=0.100 -> accuracy=0.4
[225/10000]: param_kd=01, param_n=02, param_alpha=07, param_delta=0.800 -> accuracy=0.4
[226/10000]: param_kd=02, param_n=05, param_alpha=03, param_delta=0.300 -> accuracy=0.4
[227/10000]: param_kd=02, param_n=10, param_alpha=01, param_delta=0.200 -> accuracy=0.4
[228/10000]: param_kd=03, param_n=01, param_alpha=07, param_delta=0.600 -> accuracy=0.4
[229/10000]: param_kd=02, param_n=08, param_alpha=04, param_delta=0.600 -> accuracy=0.4
[230/10000]: param_kd=01, param_n=01, param_alpha=03, param_delta=0.700 -> accuracy=0.4
[231/10000]: param_kd=02, param_n=03, param_alpha=07, param_delta=0.600 -> accuracy=0.4
[232/10000]: param_kd=01, param_n=10, param_alpha=06, param_delta=0.000 -> accuracy=0.4
[233/10000]: param_kd=02, param_n=10, param_alpha=01, param_delta=0.300 -> accuracy=0.4
[234/10000]: param_kd=02, param_n=02, param_alpha=02, param_delta=0.400 -> accuracy=0.4
[235/10000]: param_kd=01, param_n=05, param_alpha=08, param_delta=0.900 -> accuracy=0.4
[236/10000]: param_kd=01, param_n=07, param_alpha=04, param_delta=0.600 -> accuracy=0.4
[237/10000]: param_kd=01, param_n=04, param_alpha=03, param_delta=0.400 -> accuracy=0.4
[238/10000]: param_kd=03, param_n=03, param_alpha=03, param_delta=0.700 -> accuracy=0.4
[239/10000]: param_kd=03, param_n=04, param_alpha=07, param_delta=0.600 -> accuracy=0.4
[240/10000]: param_kd=02, param_n=10, param_alpha=01, param_delta=0.400 -> accuracy=0.4
[241/10000]: param_kd=01, param_n=08, param_alpha=10, param_delta=0.900 -> accuracy=0.4
[242/10000]: param_kd=01, param_n=02, param_alpha=07, param_delta=0.900 -> accuracy=0.4
[243/10000]: param_kd=03, param_n=01, param_alpha=07, param_delta=0.700 -> accuracy=0.4
[244/10000]: param_kd=02, param_n=10, param_alpha=01, param_delta=0.500 -> accuracy=0.4
[245/10000]: param_kd=01, param_n=01, param_alpha=03, param_delta=0.800 -> accuracy=0.4
[246/10000]: param_kd=01, param_n=09, param_alpha=01, param_delta=0.000 -> accuracy=0.4
[247/10000]: param_kd=02, param_n=05, param_alpha=03, param_delta=0.400 -> accuracy=0.4
[248/10000]: param_kd=02, param_n=06, param_alpha=09, param_delta=0.100 -> accuracy=1.0
[249/10000]: param_kd=02, param_n=08, param_alpha=04, param_delta=0.700 -> accuracy=0.4
[250/10000]: param_kd=02, param_n=10, param_alpha=01, param_delta=0.600 -> accuracy=0.4
[251/10000]: param_kd=01, param_n=09, param_alpha=01, param_delta=0.100 -> accuracy=0.4
[252/10000]: param_kd=02, param_n=02, param_alpha=02, param_delta=0.500 -> accuracy=0.4
[253/10000]: param_kd=03, param_n=03, param_alpha=03, param_delta=0.800 -> accuracy=0.4
[254/10000]: param_kd=02, param_n=03, param_alpha=07, param_delta=0.700 -> accuracy=0.4
[255/10000]: param_kd=01, param_n=04, param_alpha=03, param_delta=0.500 -> accuracy=0.4
[256/10000]: param_kd=02, param_n=10, param_alpha=01, param_delta=0.700 -> accuracy=0.4
[257/10000]: param_kd=03, param_n=04, param_alpha=07, param_delta=0.700 -> accuracy=0.4
[258/10000]: param_kd=01, param_n=09, param_alpha=01, param_delta=0.200 -> accuracy=0.4
[259/10000]: param_kd=01, param_n=07, param_alpha=04, param_delta=0.700 -> accuracy=0.4
[260/10000]: param_kd=01, param_n=05, param_alpha=09, param_delta=0.000 -> accuracy=0.4
[261/10000]: param_kd=01, param_n=10, param_alpha=06, param_delta=0.100 -> accuracy=1.0
[262/10000]: param_kd=01, param_n=02, param_alpha=08, param_delta=0.000 -> accuracy=0.4
[263/10000]: param_kd=01, param_n=01, param_alpha=03, param_delta=0.900 -> accuracy=0.4
[264/10000]: param_kd=02, param_n=10, param_alpha=01, param_delta=0.800 -> accuracy=0.4
[265/10000]: param_kd=03, param_n=01, param_alpha=07, param_delta=0.800 -> accuracy=0.4
[266/10000]: param_kd=01, param_n=09, param_alpha=01, param_delta=0.300 -> accuracy=0.4
[267/10000]: param_kd=02, param_n=05, param_alpha=03, param_delta=0.500 -> accuracy=0.4
[268/10000]: param_kd=02, param_n=10, param_alpha=01, param_delta=0.900 -> accuracy=0.4
[269/10000]: param_kd=02, param_n=08, param_alpha=04, param_delta=0.800 -> accuracy=0.4
[270/10000]: param_kd=01, param_n=09, param_alpha=01, param_delta=0.400 -> accuracy=0.4
[271/10000]: param_kd=02, param_n=02, param_alpha=02, param_delta=0.600 -> accuracy=0.4
[272/10000]: param_kd=03, param_n=03, param_alpha=03, param_delta=0.900 -> accuracy=0.4
[273/10000]: param_kd=02, param_n=06, param_alpha=09, param_delta=0.200 -> accuracy=1.0
[274/10000]: param_kd=02, param_n=10, param_alpha=02, param_delta=0.000 -> accuracy=0.4
[275/10000]: param_kd=02, param_n=03, param_alpha=07, param_delta=0.800 -> accuracy=0.4
[276/10000]: param_kd=03, param_n=04, param_alpha=07, param_delta=0.800 -> accuracy=0.4
[277/10000]: param_kd=01, param_n=09, param_alpha=01, param_delta=0.500 -> accuracy=0.4
[278/10000]: param_kd=01, param_n=01, param_alpha=04, param_delta=0.000 -> accuracy=0.4
[279/10000]: param_kd=01, param_n=02, param_alpha=08, param_delta=0.100 -> accuracy=0.4
[280/10000]: param_kd=03, param_n=03, param_alpha=04, param_delta=0.000 -> accuracy=0.4
[281/10000]: param_kd=01, param_n=04, param_alpha=03, param_delta=0.600 -> accuracy=0.4
[282/10000]: param_kd=01, param_n=05, param_alpha=09, param_delta=0.100 -> accuracy=0.4
[283/10000]: param_kd=01, param_n=07, param_alpha=04, param_delta=0.800 -> accuracy=0.4
[284/10000]: param_kd=03, param_n=03, param_alpha=04, param_delta=0.100 -> accuracy=0.4
[285/10000]: param_kd=03, param_n=01, param_alpha=07, param_delta=0.900 -> accuracy=0.4
[286/10000]: param_kd=01, param_n=10, param_alpha=06, param_delta=0.200 -> accuracy=1.0
[287/10000]: param_kd=03, param_n=03, param_alpha=04, param_delta=0.200 -> accuracy=0.4
[288/10000]: param_kd=03, param_n=01, param_alpha=08, param_delta=0.000 -> accuracy=0.4
[289/10000]: param_kd=02, param_n=05, param_alpha=03, param_delta=0.600 -> accuracy=0.4
[290/10000]: param_kd=02, param_n=02, param_alpha=02, param_delta=0.700 -> accuracy=0.4
